編號,職缺名稱,工作連結,公司名稱,工作內容
1,Python大數據工程師(短期3個月),https://www.104.com.tw/job/6w9pc?jobsource=jolist_a_relevance,網飛訊科技股份有限公司,"工作內容：
參與電信業大數據應用程式開發(Kafka & Spark)專案。

使用語言與技術： 
- Python、Shell Script、SQL 三年以上程式開發經驗
- ETL、Linux (option)
- Performance Tuning (option) 
- Streaming (option)

使用平台：
- Hadoop
- Kafka、Spark (option)
- PostgreSQL (option)

專案地點：台北市內湖區(西湖站)/新北市板橋區(亞東醫院站)

"
編號,職缺名稱,工作連結,公司名稱,工作內容
2,Python Engineer (Junior),https://www.104.com.tw/job/744ew?jobsource=jolist_a_relevance,瞬聯科技股份有限公司,"We are seeking an experienced software engineer to work with our development team & US clients. You will be directly working with cross-country elite engineers in the world.  Also, you will be joining the Test System team that is responsible for the development, design, diagnose and troubleshooting, and bug fixing software modules to improve product performance and stability."
編號,職缺名稱,工作連結,公司名稱,工作內容
3,Python後端開發工程師 -11009836,https://www.104.com.tw/job/77eie?jobsource=jolist_a_relevance,安碁資訊股份有限公司,"1.​ ​ ​ ​開發REST API，提供第三方服務介接

2.​ ​ ​ ​執行整合日常開發 ( CI/CD)、上線流程自動化等

3.​ ​ ​ ​支援專案類型開發，撰寫專案相關交付文件"
編號,職缺名稱,工作連結,公司名稱,工作內容
4,Python 資料科學工程師 - 初階,https://www.104.com.tw/job/73aau?jobsource=jolist_a_relevance,台灣競遊智慧網路有限公司,"1. 需熟悉以下項目

- Python 編程語言。
- 數據結構和演算法。
- 資料分析 (領域資料洞悉、特徵選擇、資料前處理等)。 
- 使用 Git 控管程式版本。
- 熟悉 Pandas/Scikit Learn 等機器學習模組。

2. 工作內容包含但不限於以下項目

- 資料清洗/爬蟲/數據整合。
- 討論並協助專案設計和解決方案。
- 開發及改良機器學習管線流程。
- 撰寫技術文件。
- 報表產出。

資料科學相關經驗ㄧ年以上。"
編號,職缺名稱,工作連結,公司名稱,工作內容
5,python工程師,https://www.104.com.tw/job/7ark5?jobsource=jolist_a_relevance,普匯金融科技股份有限公司,"inFlux 普匯金融科技是一家利用科技去輔助並提供金融服務的公司，以普惠金融為志業，希望落實傳統銀行無法提供的金融服務。「金融專業」為核心，「高端科技」為輔具，提供「最有溫度」的社群服務，拉近人與人的距離，讓金融年輕化。

目前公司獲得金控集團投資及多家銀行合作，是未來的AI金融科技獨角獸，後端工程師除了能開發最真實的金融服務系統，更有機會走在台灣金融科技的前緣，工作內容為開發 Python 相關子系統，如爬蟲、自動化系統等。

希望你加入我們一起成長，用專業的技術一起為台灣金融科技產業貢獻。

【工作內容】
1.Python 監控與維運系統開發
2.Python 相關子系統維運
3.採用 Flask 進行開發 RESTful API
4.技術文件撰寫
5.串接第三方的 API/SDK

【需備條件】
1.具有 Git 版本控制相關知識
2.熟悉 Linux 操作環境及相關指令
3.良好溝通能力，團隊配合度高
4.Python 與 Flask 開發能力

【加分條件】
1.熟悉關聯式資料庫設計 (MySQL等)
2.使用 MongoDB 進行開發的實務經驗
3.微服務 (Microservices) 開發實務經驗
4.熟悉相關設計模式 (Design Pattern)
5.有串接第三方的 API/SDK 實務經驗
6.有金融相關背景知識

【福利制度】
｜基本款｜
*勞保、健保、勞退等基本規範
*每人有舒適的工作環境
*完善業務獎金制度

｜特別款｜
*三節都會有禮品
*員工的生日慶祝！每月會對壽星舉辦慶生
*不只是寫寫程式，讓你工作之餘能涉獵金融科技相關的專業知識
*多家銀行與企業的合作，讓你能有外面不會接觸到的學習機會
*有點累了？公司提供免費咖啡讓你提神
*每月補充的零食櫃，讓你解解肚子餓及嘴饞的煩惱
*每個月的小確幸，科技部門聚餐吃飯
*每年健康檢查，照顧每位員工的身體狀況
*工程師通過試用期即配備 MacBook Pro 及 24 吋大螢幕，讓你擁有好的開發體驗"
編號,職缺名稱,工作連結,公司名稱,工作內容
6,網站開發全端工程師 (Python),https://www.104.com.tw/job/43gvt?jobsource=jolist_a_relevance,台灣智園有限公司,"【我們需要您具備】
1.有能力自主學習、願意主動改善產品與平台、熱愛技術研究
2.有耐心，具備團隊溝通能力
3.對敏捷式開發、自動化測試有經驗或興趣
4.我們不局限於單一技術，我們希望團隊共同成長，學習與應用最新的技術
   a. 以 Python 為主，JAVA, NodeJS 為輔
   b. Javascript ES6, Angularjs, Vue 以及 CSS 開發前端 UI Presentation Layer
   c. MySQL 資料庫管理
   d. 曾接觸 Elastic Search , Redis 資料庫尤佳
   e. 有混合式 app、liff app 開發經驗尤佳

【團隊工作氣氛】
1.我們採用敏捷研發方法(SCRUM)，持續交付、測試驅動、結伴撰寫程式是我們的日常工作，精益、敏捷、以用戶為中心是我們的態度，與我們一起體驗最敏捷的方法，一同打造最優秀的產品。
2.沒有嚴格的層級劃分和僵化的制度來約束你表達和創新，我們尊重每個人的想法，共同創造全新的產品體驗。
3.開放式辦公環境，充分的團隊協作和溝通。

【國內近年來榮獲的肯定】
2017年 學習科技卓越金質獎—平台工具類
2016年 智慧城市創新應用獎—智慧教育類
2016年 資訊月百大創新產品獎—創新數位化教育類
2015年 學習科技金質獎—平台工具類

【公司願景與使命】
1.用科技改變教育，讓教學與管理更簡單
2.打造世界級教育平台，聚焦大中華教育市場
3.成為學校信賴的教育資訊化合作夥伴"
編號,職缺名稱,工作連結,公司名稱,工作內容
7,Python網站工程師 (實習生 ),https://www.104.com.tw/job/7anci?jobsource=jolist_a_relevance,學力創意股份有限公司,"-Python 監控與維運系統開發
-熟悉Python編程語言
-設計編寫API
-系統維運
-技術文件撰寫

【職務條件】
-具有 Git 版本控制相關知識
-熟悉 Linux 基本常見指令
-可獨立或與團隊合作，工作態度積極、負責，能配合公司規定

【需求條件】
1.一週可上班4天
2. 熟悉 Python
3. 任何 Database 經驗
4. 具有程式開發熱情
5. 目標導向的個人特質
"
編號,職缺名稱,工作連結,公司名稱,工作內容
8,後端工程師(Python),https://www.104.com.tw/job/7aecq?jobsource=jolist_a_relevance,台灣幣蜂數位有限公司,"職務描述
1、用Python架構、設計、實現產品的後端
2、數據驅動，不斷通過產品和技術數據進行改進，並完成快速迭代
3、與QA合作進行測試、改進和問題修復工作

希望您是
1、本科及以上學歷，計算機或相關專業
2、熟悉掌握至少一門編程語言，如Python、C、C++、Golang、Java、Ruby等
3、熟悉Linux\Unix網絡編程，Web相關技術棧
4、具備MySQL、PostgreSQL、NoSQL等實際應用和優化經驗
5、有紮實的數據結構算法基礎，良好的編程風格，有算法競賽經歷優先"
編號,職缺名稱,工作連結,公司名稱,工作內容
9,Python後端工程師,https://www.104.com.tw/job/71j4l?jobsource=jolist_a_relevance,光禾感知科技股份有限公司,"[ 工作內容 ]
1. 資料庫的架構設計、開發。
2. RESTful API 設計、開發及文件撰寫。
3. 為模組撰寫自動化測試。
4. 伺服器架構設計、開發以及維護。
5. 伺服器管理介面開發及維護。

[ 基本條件 ]
1. 熟悉 Linux 並有Python開發經驗。
2. 熟悉資料庫使用 (SQL, mongodb)。
3. 熟悉資料結構及演算法等。
4. 熟悉 Git。

[ 加分項目 ]
1. 具備伺服器架設/規劃經驗。
2. 具備使用者介面設計與整合經驗。
3. 具備Microsoft Azure管理或架設經驗。
4. 具備Python Flask 相關經驗。"
編號,職缺名稱,工作連結,公司名稱,工作內容
10,Python工程師 Python Engineer,https://www.104.com.tw/job/7cw99?jobsource=jolist_a_relevance,先鋒網絡服務有限公司,"【關於團隊】

- 我們樂於互相分享，也樂於互相學習
- 我們有主動發現問題，主動解決問題的特質
- 我們正在尋找具備自主學習能力的軟體工程師，並樂於以創新的思維及樂觀積極的態度面對挑戰，歡迎您成為團隊一份子！

【職務內容】

1. 負責設計並開發網路爬蟲系統，進行多平台資訊的抓取和分析工作，實時監控爬蟲的進度和警報反饋。
2. 依據產品架構，設計及實作軟體模組。
3. 依據專案需求，完成關鍵技術研究與實做。
4. 軟體模組單元及整合測試。

【其他】
1、通過試用期後將視個人表現調整薪資。
2、工程師彈性上下班時間為09:00-09:30~18:00-18:30
"
編號,職缺名稱,工作連結,公司名稱,工作內容
11,PYTHON DEVELOPER 後端工程師,https://www.104.com.tw/job/77in7?jobsource=jolist_a_relevance,美商網碩科技股份有限公司台灣分公司,"WHAT WE WANT 
FriendFinder Networks is looking for a Senior Python Developer who will work with cross-functional teams to design, develop, and test Python/Javascript code for web applications that are highly scalable. Your contributions will ensure FriendFinder Networks will continue to provide our customers with the best possible user experience for everyone who visits our websites 24 hours a day, every day of the year, all over the world.  

WHAT YOU WILL DO
•	Write, design, and implement code using Python and other technologies
•	Build and maintain microservices, designing and implementing APIs, managing cross-service integration testing, and creating robust, fault-tolerant services
•	Design and document new features, improvements, and database infrastructure
•	Establish engineering processes, define company engineering standards, identify and implement core technologies, and remove technical hurdles
•	Confer with management and cross-functional teams in the development process from start to finish
•	Develop and execute unit test for product components
•	Work with QA Technicians to resolve issues before going live
•	Troubleshoot and debug applications that occur outside of the regular release cycle
•	Knowledge of node.js, javascript programing language is a plus

WHAT YOU MUST HAVE
•	Bachelor's degree in Computer Science or related field and/or equivalent work experience
•	5 years’ Python development and MySQL or other databases
•	3 years’ experience working with Object-Oriented Programming and Service-Oriented Architecture
•	Strong knowledge of data structures and algorithms
•	Strong knowledge of programming principles, concepts, and best practices
•	Experience in Redis, Memcache, or ActiveMQ
•	You must be at least 21 years old or older
•	You must be comfortable with adult content 
"
編號,職缺名稱,工作連結,公司名稱,工作內容
12,Python 軟體工程師 - 初階,https://www.104.com.tw/job/7395f?jobsource=jolist_a_relevance,台灣競遊智慧網路有限公司,"主要工作內容

- 撰寫技術文件。
- 撰寫測試程式。
- 負責資料清洗。
- 建立資料標籤。
- 每日更新資料。

其他職務相關要求

- 需配合團隊需求開發程式。
- 程式撰寫習慣良好， 具自主測試及除錯能力。
- 懂得使用 git 做版本控管。
- 了解物件導向概念

程式開發相關經驗一年以上。"
編號,職缺名稱,工作連結,公司名稱,工作內容
13,python工程師,https://www.104.com.tw/job/7fc5c?jobsource=jolist_a_relevance,新漫資訊有限公司,"1、參與產品需求的分析，根據產品需求制訂技術方案與實現
2、負責遊戲服務器端系統設計與開發，確保發布系統的高效穩定運行
3、負責遊戲服務器系統的優化以及維護
4、負責設計實現遊戲服務器的核心邏輯與算法
5、主管交辦其他事務

------------------------------------------------------------------------
加分條件:
1、掌握扎實的電腦基础知識，深入理解數據結構、算法和操作系统知識
2、有優秀的邏輯分析能力，能夠對業務邏輯進行合理的抽象和拆分
3、有優秀的學習與溝通能力

"
編號,職缺名稱,工作連結,公司名稱,工作內容
14,P7-Python資料工程師,https://www.104.com.tw/job/7csnw?jobsource=jolist_a_relevance,意藍資訊股份有限公司,"本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，從搜集語料（語料來源可能來自公司內部的輿情資料、特定網站的資料或者其他第三方API等），到轉換、儲存語料，最後藉由API服務提供分析部門存取語料。

工作內容如下：
資料搜集程式開發與維護（如爬蟲、API、文件等）
資料處理程式開發與維護
資料存取API服務開發與維護
"
編號,職缺名稱,工作連結,公司名稱,工作內容
15,"Test Automation Developer 自動化開發測試工程師 (C/C++, Python)",https://www.104.com.tw/job/6u7kv?jobsource=jolist_a_relevance,Mphasis Taiwan_澳大利亞商安復仕有限公司台灣分公司,"(ID: 239403, 255398)

1. This position is responsible for developing test automation system and tools for HP PC products. 

If you are our Senior Software Engineer in Taipei, you will have a chance to:
•	Design enhancements, updates, and programming changes for portions and subsystems of system software including applications, services, utilities, and Internet-based platforms.
•	Analyze design and determine coding, programming, and integration activities required based on general objectives and knowledge of overall architecture of product or solution.
•	Write and execute complete testing plans, protocols, and documentation for assigned portion of application; identify and debug and create solutions for issues with code and integration into application architecture.
•	Participate in a software agile team to collaborate and communicate with team members regarding software applications design status, project progress, and issue resolution.


Qualifications
Bachelor's or master’s degree in Computer Science, Information Systems, or equivalent
The candidate should have in depth proficiency in software programming and meet the requirements in below.
•	8+ years of programming experience and have in depth proficiency in C/C++, C#, or Python language.
•	Experience with large scale system development and architecture experience.
•	Experience with developing various interfaces for the interaction between systems connected by networks.
•	Ability to apply analytical and problem-solving skills.
•	Software systems testing methodology, including execution of test plans, debugging, and testing scripts and tools
•	Strong written and verbal communication skills; mastery in English and local language. Ability to effectively communicate design proposals and negotiate options.

One or more experience in below areas will be a plus-
•	Familiar with Windows or OS internals and computer architecture.
•	Experience with test automation and tool development.
•	Experience with test driven development and Agile Software Development.


2. 
We are looking for: 
Resource who can write test automation script/developed and do/support manual testing in parallel to automation test development. 

Technical Skills:  
•	3 years C#/C++ Programming Skill 
•	Experience in Windows SW testing spec writing and execution.  
•	Experience in Windows Automation Test SW development is a plus 
•	Good team discipline and communication 

Qualifications:  
•	Bachelor's (undergraduate), Master's (graduate), or Ph.D. (postgraduate) degree in a technical discipline (e.g. computer science, information technology, engineering, etc.) 

Behavioral Skills: 
•	Result oriented team player 
•	Good in communication 
•	Interpersonal skills "
編號,職缺名稱,工作連結,公司名稱,工作內容
